#BLOCK:       AVERAGE:         ERROR:
      1      0.0018039      0.0000000
      2     -0.0008800      0.0026839
      3     -0.0017123      0.0017589
      4     -0.0011863      0.0013504
      5     -0.0009373      0.0010753
      6     -0.0004961      0.0009825
      7     -0.0007774      0.0008767
      8     -0.0007411      0.0007601
      9     -0.0006873      0.0006725
     10     -0.0007930      0.0006108
     11     -0.0007665      0.0005531
     12     -0.0008582      0.0005131
     13     -0.0008573      0.0004720
     14     -0.0004123      0.0006237
     15     -0.0005230      0.0005911
     16     -0.0006022      0.0005585
     17     -0.0006700      0.0005290
     18     -0.0004111      0.0005620
     19     -0.0004624      0.0005340
     20     -0.0004758      0.0005068
     21     -0.0005550      0.0004885
     22     -0.0004862      0.0004708
     23     -0.0004099      0.0004563
     24     -0.0003710      0.0004386
     25     -0.0003565      0.0004210
     26     -0.0003125      0.0004068
     27     -0.0002454      0.0003972
     28     -0.0001486      0.0003948
     29     -0.0001105      0.0003828
     30     -0.0000494      0.0003749
     31     -0.0002351      0.0004074
     32     -0.0002484      0.0003947
     33     -0.0001827      0.0003881
     34     -0.0002170      0.0003781
     35     -0.0002910      0.0003745
     36     -0.0003372      0.0003669
     37     -0.0004283      0.0003683
     38     -0.0004367      0.0003586
     39     -0.0004739      0.0003512
     40     -0.0003714      0.0003573
     41     -0.0002991      0.0003559
     42     -0.0002772      0.0003481
     43     -0.0001693      0.0003566
     44     -0.0001221      0.0003516
     45     -0.0000502      0.0003511
     46     -0.0000219      0.0003445
     47      0.0000098      0.0003386
     48      0.0001132      0.0003472
     49      0.0001443      0.0003415
     50      0.0001625      0.0003351
     51      0.0001385      0.0003293
     52      0.0000995      0.0003253
     53      0.0001311      0.0003207
     54      0.0001500      0.0003152
     55      0.0001748      0.0003104
     56      0.0001727      0.0003049
     57      0.0002057      0.0003013
     58      0.0001661      0.0002987
     59      0.0001335      0.0002954
     60      0.0001367      0.0002904
     61      0.0001385      0.0002856
     62      0.0001722      0.0002830
     63      0.0002227      0.0002830
     64      0.0001846      0.0002812
     65      0.0001537      0.0002785
     66      0.0001389      0.0002747
     67      0.0001612      0.0002714
     68      0.0001057      0.0002731
     69      0.0000612      0.0002728
     70      0.0000552      0.0002689
     71      0.0000280      0.0002665
     72      0.0000533      0.0002640
     73      0.0000356      0.0002610
     74      0.0000333      0.0002574
     75      0.0000675      0.0002563
     76      0.0001047      0.0002556
     77      0.0000595      0.0002563
     78      0.0000544      0.0002530
     79      0.0000348      0.0002506
     80      0.0000293      0.0002475
     81     -0.0000325      0.0002521
     82     -0.0000422      0.0002492
     83      0.0000045      0.0002506
     84     -0.0000010      0.0002476
     85     -0.0000112      0.0002449
     86     -0.0000081      0.0002421
     87     -0.0000057      0.0002393
     88     -0.0000070      0.0002365
     89      0.0000011      0.0002340
     90     -0.0000249      0.0002328
     91      0.0000308      0.0002369
     92      0.0000600      0.0002361
     93      0.0001023      0.0002374
     94      0.0000984      0.0002349
     95      0.0001161      0.0002331
     96      0.0001028      0.0002310
     97      0.0001298      0.0002302
     98      0.0001437      0.0002283
     99      0.0001396      0.0002260
    100      0.0001342      0.0002238
