#BLOCK:       AVERAGE:         ERROR:
      1     -0.0031731      0.0000000
      2     -0.0019435      0.0012296
      3     -0.0024236      0.0008570
      4     -0.0004344      0.0020795
      5     -0.0001335      0.0016386
      6     -0.0013938      0.0018381
      7     -0.0012171      0.0015635
      8     -0.0016493      0.0014213
      9     -0.0014220      0.0012739
     10     -0.0005505      0.0014345
     11     -0.0002921      0.0013230
     12     -0.0003861      0.0012114
     13     -0.0004465      0.0011160
     14      0.0000587      0.0011501
     15     -0.0000044      0.0010725
     16     -0.0008133      0.0012887
     17     -0.0008191      0.0012105
     18     -0.0008110      0.0011413
     19     -0.0005095      0.0011209
     20     -0.0005546      0.0010643
     21     -0.0004691      0.0010160
     22     -0.0002800      0.0009870
     23     -0.0001801      0.0009484
     24     -0.0005059      0.0009647
     25     -0.0002678      0.0009554
     26     -0.0002234      0.0009190
     27     -0.0001082      0.0008918
     28      0.0001055      0.0008855
     29      0.0003658      0.0008932
     30      0.0001751      0.0008837
     31      0.0003312      0.0008689
     32      0.0003910      0.0008434
     33      0.0004433      0.0008191
     34      0.0005961      0.0008093
     35      0.0005557      0.0007868
     36      0.0004304      0.0007749
     37      0.0002557      0.0007736
     38      0.0003281      0.0007565
     39      0.0002403      0.0007420
     40      0.0002159      0.0007236
     41      0.0002627      0.0007073
     42      0.0004264      0.0007094
     43      0.0003539      0.0006965
     44      0.0002791      0.0006846
     45      0.0002809      0.0006692
     46      0.0002245      0.0006569
     47      0.0001741      0.0006448
     48      0.0000454      0.0006442
     49      0.0000529      0.0006310
     50      0.0000244      0.0006189
     51     -0.0001055      0.0006204
     52     -0.0001755      0.0006123
     53     -0.0001473      0.0006013
     54     -0.0002362      0.0005967
     55     -0.0003083      0.0005902
     56     -0.0003951      0.0005860
     57     -0.0004012      0.0005757
     58     -0.0003546      0.0005676
     59     -0.0003447      0.0005580
     60     -0.0003142      0.0005495
     61     -0.0001884      0.0005548
     62     -0.0001252      0.0005494
     63     -0.0001944      0.0005451
     64     -0.0002703      0.0005418
     65     -0.0002529      0.0005337
     66     -0.0003362      0.0005321
     67     -0.0003286      0.0005242
     68     -0.0003338      0.0005164
     69     -0.0002300      0.0005194
     70     -0.0001023      0.0005276
     71     -0.0001536      0.0005227
     72     -0.0001729      0.0005157
     73     -0.0002078      0.0005098
     74     -0.0002680      0.0005064
     75     -0.0002641      0.0004997
     76     -0.0002997      0.0004943
     77     -0.0003103      0.0004880
     78     -0.0002426      0.0004864
     79     -0.0002019      0.0004819
     80     -0.0001715      0.0004768
     81     -0.0000996      0.0004764
     82     -0.0000611      0.0004721
     83     -0.0000939      0.0004675
     84     -0.0000627      0.0004630
     85     -0.0000939      0.0004586
     86     -0.0001310      0.0004547
     87     -0.0000536      0.0004561
     88      0.0000044      0.0004546
     89      0.0000001      0.0004495
     90     -0.0000278      0.0004453
     91     -0.0000121      0.0004407
     92      0.0000107      0.0004365
     93      0.0000102      0.0004318
     94      0.0000575      0.0004298
     95      0.0000550      0.0004252
     96      0.0000611      0.0004208
     97      0.0001294      0.0004220
     98      0.0001204      0.0004178
     99      0.0000839      0.0004151
    100      0.0001173      0.0004123
