#BLOCK:       AVERAGE:         ERROR:
      1     -0.0459799      0.0000000
      2     -0.0805338      0.0345539
      3     -0.0248477      0.0591518
      4     -0.0961902      0.0826997
      5     -0.0794094      0.0662204
      6     -0.1417152      0.0824951
      7     -0.1217393      0.0725263
      8     -0.1369029      0.0646141
      9     -0.1078557      0.0639606
     10     -0.1080398      0.0572084
     11     -0.0912356      0.0544070
     12     -0.0612064      0.0580390
     13     -0.0555082      0.0536914
     14     -0.0771274      0.0542064
     15     -0.0843251      0.0509741
     16     -0.1044562      0.0517574
     17     -0.0894493      0.0508810
     18     -0.0773132      0.0494824
     19     -0.0674721      0.0478291
     20     -0.0809651      0.0473384
     21     -0.0578957      0.0505935
     22     -0.0694385      0.0496008
     23     -0.0636460      0.0477479
     24     -0.0844235      0.0502153
     25     -0.0731351      0.0494700
     26     -0.0602137      0.0492543
     27     -0.0669909      0.0478771
     28     -0.0770739      0.0472245
     29     -0.0589732      0.0490304
     30     -0.0661110      0.0479027
     31     -0.0669649      0.0463395
     32     -0.0696061      0.0449457
     33     -0.0593647      0.0447501
     34     -0.0657584      0.0438823
     35     -0.0612318      0.0428498
     36     -0.0639261      0.0417296
     37     -0.0586890      0.0409226
     38     -0.0509723      0.0405717
     39     -0.0342273      0.0429191
     40     -0.0472156      0.0438023
     41     -0.0372640      0.0438644
     42     -0.0409133      0.0429625
     43     -0.0390935      0.0419910
     44     -0.0295199      0.0421277
     45     -0.0282064      0.0412019
     46     -0.0285166      0.0402974
     47     -0.0247995      0.0396055
     48     -0.0294724      0.0390522
     49     -0.0335531      0.0384640
     50     -0.0323653      0.0377056
     51     -0.0351188      0.0370613
     52     -0.0371651      0.0363991
     53     -0.0370079      0.0357061
     54     -0.0341830      0.0351523
     55     -0.0368784      0.0346124
     56     -0.0326949      0.0342452
     57     -0.0334819      0.0336483
     58     -0.0323891      0.0330811
     59     -0.0254667      0.0332442
     60     -0.0290049      0.0328764
     61     -0.0327764      0.0325522
     62     -0.0254423      0.0328520
     63     -0.0347229      0.0336321
     64     -0.0287739      0.0336328
     65     -0.0316606      0.0332369
     66     -0.0282642      0.0329052
     67     -0.0260418      0.0324865
     68     -0.0264064      0.0320072
     69     -0.0300657      0.0317515
     70     -0.0365873      0.0319669
     71     -0.0386282      0.0315795
     72     -0.0344927      0.0314112
     73     -0.0324936      0.0310424
     74     -0.0244971      0.0316469
     75     -0.0268576      0.0313112
     76     -0.0268644      0.0308965
     77     -0.0249750      0.0305511
     78     -0.0213567      0.0303732
     79     -0.0170579      0.0302928
     80     -0.0107634      0.0305669
     81     -0.0102707      0.0301912
     82     -0.0151018      0.0302095
     83     -0.0157121      0.0298496
     84     -0.0158660      0.0294925
     85     -0.0209111      0.0295769
     86     -0.0251636      0.0295386
     87     -0.0273339      0.0292777
     88     -0.0213463      0.0295560
     89     -0.0202542      0.0292424
     90     -0.0133574      0.0297267
     91     -0.0070358      0.0300703
     92     -0.0124856      0.0302368
     93     -0.0124581      0.0299099
     94     -0.0147745      0.0296806
     95     -0.0150906      0.0293682
     96     -0.0105905      0.0294070
     97     -0.0153497      0.0294888
     98     -0.0156570      0.0291880
     99     -0.0179247      0.0289805
    100     -0.0099778      0.0297696
