#BLOCK:       AVERAGE:         ERROR:
      1      0.4407918      0.0000000
      2      0.1095275      0.3312643
      3     -0.2151135      0.3767896
      4     -0.0639724      0.3063149
      5      0.0942216      0.2851712
      6      0.1685969      0.2444315
      7      0.1274773      0.2106349
      8      0.1345670      0.1825529
      9      0.0324710      0.1906397
     10     -0.0179439      0.1778102
     11     -0.0420768      0.1626358
     12     -0.0480890      0.1485872
     13     -0.1085962      0.1494745
     14     -0.0891250      0.1397496
     15     -0.0155789      0.1494490
     16      0.1101370      0.1880096
     17      0.1160890      0.1767045
     18      0.0619718      0.1751679
     19      0.0349840      0.1678757
     20      0.0780852      0.1649901
     21      0.0732233      0.1570122
     22      0.0884976      0.1504824
     23      0.0550205      0.1476365
     24      0.0921114      0.1461366
     25      0.0500983      0.1463302
     26      0.0093125      0.1463861
     27      0.0493873      0.1464498
     28      0.0867030      0.1459728
     29      0.0538079      0.1446396
     30      0.0450289      0.1400106
     31      0.0622276      0.1365066
     32      0.0811051      0.1335133
     33      0.0798019      0.1294108
     34      0.0557174      0.1278361
     35      0.0449193      0.1245987
     36      0.0323805      0.1217357
     37      0.0237027      0.1187174
     38      0.0256578      0.1155676
     39     -0.0127747      0.1189454
     40      0.0128205      0.1187254
     41     -0.0180141      0.1198286
     42     -0.0182748      0.1169411
     43     -0.0314859      0.1149508
     44     -0.0501494      0.1138481
     45     -0.0332705      0.1125621
     46     -0.0353023      0.1101067
     47     -0.0413819      0.1079099
     48     -0.0313547      0.1061127
     49     -0.0111305      0.1058741
     50     -0.0084925      0.1037686
     51     -0.0085397      0.1017136
     52     -0.0240595      0.1009386
     53     -0.0466872      0.1015684
     54     -0.0398716      0.0999025
     55     -0.0340257      0.0982434
     56     -0.0306220      0.0965331
     57     -0.0341654      0.0948906
     58     -0.0355027      0.0932498
     59     -0.0523064      0.0931833
     60     -0.0508147      0.0916292
     61     -0.0552477      0.0902235
     62     -0.0621404      0.0890236
     63     -0.0492711      0.0885394
     64     -0.0548866      0.0873258
     65     -0.0499184      0.0861152
     66     -0.0540157      0.0848993
     67     -0.0608729      0.0839032
     68     -0.0598292      0.0826668
     69     -0.0574365      0.0814950
     70     -0.0542871      0.0803841
     71     -0.0534543      0.0792482
     72     -0.0363086      0.0799987
     73     -0.0337728      0.0789360
     74     -0.0431060      0.0784194
     75     -0.0340553      0.0778943
     76     -0.0111581      0.0802006
     77     -0.0113803      0.0791525
     78     -0.0136503      0.0781641
     79     -0.0271008      0.0783318
     80     -0.0260353      0.0773538
     81     -0.0287812      0.0764422
     82     -0.0301549      0.0755167
     83     -0.0269544      0.0746699
     84     -0.0300545      0.0738407
     85     -0.0292475      0.0729713
     86     -0.0212326      0.0725618
     87     -0.0211524      0.0717230
     88     -0.0182087      0.0709643
     89     -0.0212741      0.0702294
     90     -0.0303300      0.0700326
     91     -0.0438486      0.0705658
     92     -0.0438584      0.0697946
     93     -0.0502106      0.0693316
     94     -0.0365421      0.0699387
     95     -0.0353578      0.0692088
     96     -0.0450014      0.0691597
     97     -0.0426382      0.0684838
     98     -0.0556262      0.0690145
     99     -0.0490964      0.0686252
    100     -0.0619737      0.0691452
